,text
2260,"Так вот что мне мешало полноценно пыхтеть) В калике арбузик застрял😅 А я то думал мышь заползла, хитрое животное😈 Ну что, арбузяка, готов к поеданию?)

Проверяйте свои кальянчики - там может быть спрятана вкусняшка😋"
2261,"Арбуз мне в пуз, вот это кальянамбур😹🤙😺🍉 помню как тяну свой любимый экзотик от дарксайд🍎🍐🍑🍍🍌🍆 чувствую что-то в трубке застряло а это пол дыни😂😅 ну кальянщик думаю ну лихой парень такую шутку-прибаутку состряпал😆😃 ну ничего я тоже над ним прикололся и угольки вместо чаевых положил😁😅🙏 тоже ж умею шутить еп*т) 
будьте аккуратней  ребят☝ с каленвагеном не как с кралей, тут нужно забота и внимание👌😌 желаю всем плотного забива и терпкой раскумарки😝всех обнял отошел😁✌"
2262,"Мдааа 😈 кальяндус фокусы отжигает, как будто мятой всю чашечку закупорили 🤢🤢🌱 ну а кальянщик сразу русского пыхаря заметил 👀🇳🇱 комплимент от шеф повара так сказать 🎁🎁🍉 Дым-Дымыч ёпт) 💨💨💨
В жижке то не найдете таких подарочков 🇲🇾🇲🇾🏳‍🌈️
Всем кальянто-патронум и pys (мир) 🤙🙏☝✌🐘🐘"
2263,"Ну че ты арбузяндрий 🍉😄 в кальяндусик залез к мужичку?😁😁 не даешь плотную накурочку получить 💨 💨  густого дымочка вкусить? Нельзя так делать,калик дело святое🙏🏻 когда человек кальяндос дует-его змея 🐍 не кусает😆 закон жизни,мотай на ус арбуз🤣🤣🤣🤣🤪🤪🤪"
2264,"Подобно тихим водам Нила🌍💦, текущим словно время🌞⛄, дым☁💭  должен также протекать из шахты прямо внутрь🔞⚠⚠. Еще древние кайфари💂‍♀️👳‍♀️🤡, а именно Дыместотель🤽‍♂️, Напаслон 🤼‍♂️и Кумарий из Щербетля🏊‍♀️, говорили: „Гейпера🤢🤢🤢💀 жижетребителя можно узнать по двум приметам✌: он много парит👎👎👎 и говорит о Кальянософии❤❤❤, для него бесполезной😨😨😨, и высказывается о том, что на 95% безопасней🖕🖕🖕, хотя его не спрашивают.“📜📜📜
Ой, задумался о вечном, о дымном...🤔🤔🤔 Пора угли менять, да забивон крафтить😜😜😜. Дорогие вкушатели, плотных слоёв дымосферы,😍😍😍 мир вам, кумара, кайфа🇲🇴🇮🇱🇯🇵. Яблоко в   n2 степени🍅🍋."
2265,"Парень показывает нам новые дымные технологии, не просто двойное яблочко с кайфом покурит🍏🍎, но и еще арбузик, пропитанный чудесным дымком похавает, главное не переусердствовать, а то так можно и не заметить, как шарики за ролики заехали
Всем дымных кальянбасов!🍉🤙🏻💭👌🏻"
2266,"Мало кто знает, но спайдер мен - наш человек😺 Сейчас у пацана отпуск и он проводит его на кумарном курорте Краснодарского края🤙🏼 Пыхает как не в себя) А че, можно, когда Мэри Джейн не видит😃 

С великим накуром приходит великая ответственность🙏
———————
Супергеройская фотка от нашего подписчика)"
2267,сразу видно русский парень 🤣👍🇫🇷 не растерялся и нашел время покумарить сладкого дыма💨😏 с видом на море😜 сейчас сменит угли и пойдет побеждать джокера 😊😁 всем добра😎
2268,"Уселся себе 😤 важный такой 😎
Ну оно и понятно 😋 русского☝ человека за версту видно 😈😈👍  И вот кому какая разница кто под маской?🤡🤡🤡 главное что двойное яблоко 🍏 🍎 плотно забито 🍃🍃🍃
И теперь ты не человек -паук, а человек-накур 😃😃😃😃😃😃😃👌✌👍"
2269,"а вы че сомневались?😈😈😈 паукану 🕷тоже кайфовать надо 😤😤😤а он кайфарик наш русский🇱🇺🇱🇺🇱🇺, дарксайдику плотного забил в кальямбао и давай крале 👩‍🦰Мэри Джейн👩‍🦰 мундштуком делиться))))))👉👌🤣🤣

И как говорил дядя Бен 👴🏻чем больше хапка, тем больше кайфа💨💨💨🤙

Всех своих обнял, ахуенного накура и плотнецкого дыма🍏🍎🍏🍎🍏💨💨💨💨

Накур-паук одобряет 🕷💪"
2270,сука я так с вас ору пацаны спасибо что выводите из дипрессие
2271,"Пепсикольный тоже в теме😤😤😤 паркур маркур на крышу залез🏙🏙🏙насладиться видом и конечно сладким кальямбисом💨💨💨с двойным 🍎🍏🍎🍏 яблочком сейчас покурёкает и пойдёт врагам пиз*дюлей давать💪💪💪а вы думали, народ защищает от злых сил😈😈😈 надо найти время и на дымного друга😋😋😋"
2272,"Жизнь нам дана не для того, чтоб слушать советы 
А для того, чтоб все было четко😈"
2273,"сразу видно шейхи 💰💰💰из Объединённых ☢️Кумарских 🕎Дыммиратов🌋, что табачком весь мир снабжают🍂⚖️🍁, у них там вся экономика на этом построена💹💹💹за каждого нового рождённого дыммовенка🌪👼🏻🌫👼🏻🌫👼🏻 🌪пятикомнатную кальянную дают🏗🏢🏤 это я понимаю стимуляция перезабива 🏭💨💨💨"
2274,Кальянздрав предупреждает: непыхтение кальяндуса может привести к отсутствию кайфа по жизни 😈🤙🏻
2275,"это же знаменитый рэпер Обладает🎤🎤🎤 в широких массах известный как Обалдеет👓👓👓ну теперь понятно почему. респект чуваку, думали пиндосский гейпер (gay raper), а оказалось наш человек 🇫🇷🇫🇷🇫🇷"
2276,"🔥🔥обожаю hookah 😎😎✌ и все что с ним связано💓💓 шарю за ДЫМ🤓🤓smoke♀💁‍♀ буль 💦💦 буль💥💥 передашь кальян?❓❓моя очередь🤑💵 ПЛОТНЕНЬКО😙😙 долбит нормально (🔫dolbit normalno🔫) 🤤🤤 
ваще я считаю что в Кальяндии  забивка может состоять исключительно из альфача с двойным яблоком 🤪✌ 
Кульянщик: сколько кальянов забить вам ?💊💊 Я с друзьями: да😂😂 

Кальянные братья это когда на калике*) гейперы вместо рассказов в комментах пишут ""не понял"" 😆😆🤙 
если ты с детства не вырос на кальянперсах 👶👶, не знаешь все вкусы альфакира🤯😡👊 то даже не пиши мне👎👎😤😤"
2277,"Кристи и обла - уважаемые кумарщики, все срочно ставит класс!"
2278,
2279,"образцово-показательный упитанный пыхтач) 😎👍🏻готов вдыхать тропический кумар и улетать в нирвану (туда если чё Курт Кальбейн ещё отправился, затянувшись кальбарсом так, что аж отвал башки случился!)🤪🤤😃😃🤙🏻😈🥳

сидит правда не по-пацански: пятка вон поднята 👿 как гласит кальянная мудрость: пятки поднял, угольки и кралей потерял 😄😒😔

всем густого дымного удовольствия и сладких мундштуков, пыхтунчики, обнял) 🤙🏻💨💨💨👍🏻🤝🏻😈"
2280,
2281,Оооо чисто задудонил кайфорез)) мощного дымного парика 💨💨💨Сразу видно что человек умеет отдыхать душой без всяких краль 😎😎😎Когда калямбасик рядом то жизнь это праздник 🎉🎉🎉 Всем такого отдыха бойцы) 💪🏻😈
2282,"вот это я понимаю уважение к делу🤙🏾🤙🏾🤙🏾аж присел перед праздничным био-кальчипсоном  🗽🗽🗽👑💨аеу посольство Кальянной народной республики🚨🇰🇷🚨требуем гражданства новому пакемону Пыхачу🐥🌪🐥🌪🐥🦄🌈🌈🌈а пока мы на аву его повесим, как кайфарика месяца 📅"
2283,"Не ну это прямо как в древнерусских сказках 🇻🇳🇻🇳🇻🇳 царь Дудон 👑 👑 👑 за обедом 😏😏😏, на столе накрыт самый лучший кальяниус🔝🔝🔝, таки самый настоящий хендмейд 🤙🏿🤙🏿🤙🏿 прямиком из восточных гор 😳😳😳💂🏻‍♂️💂🏻‍♂️, гении густого ремесла, смастерили колпак из тропической тыквы 🎃 🎃, а забили его крепким как братская дымружба🤝🤝🤛🏻🤜🏻 табачком высшего сорта 🥦🥦🥦, о таком качественном курямбасе, не мечтают только жители Курильских островов 😎😎😎😋, довольный Дудон, ну а хуле, ведь кумарчик ловит нехуевый 😈😈😈 , щас ещё царевна Краля подойдёт и будет полный кальянздец 🔞🔞🔞🔞"
2284,"Оооох ну и расселись) Пацан и мадемуазель Краля Фон Табач😅 Животы уже набухли от дыма - попыхтели на славу) А какой повод так королевски кумарить? спросите вы😌 Да все просто) У пацана то днюха😺 Песок, родной, с твоим днём тебя🥳 
Помни - братва святое, кальянчик родное🤙🏼
#днюшныйкалик"
2285,"Вот это я понимаю😃 два дымодуя расселись в царских персидских хоромах)) 😁😁а краля и рада дышать парами сладкого дымного 💨 хах
А паренек-то что надо, знает куда дымокралю вести на покур😆😃👍
Всем сладкого пятничного двойного яблока, кальяноиспарители 🍎 🍏"
2286,"дааа, умеют же люди Русские кумар ловить!) 😈🤙🏻🤝🏻👍🏻расположились и давай аля-улю: царь во дворца, царь во дворца!!)😜😃
а именинник-то наш не свечи задувает, как гейпер последний, а почётно каждый шланг курямбобит, что аж из ушей наслаждение выходит кольцами) 💨💨💨👍🏻🤣😊😆

с хепибёздычем, родной, обнял всех наших) 😎🥳🤠"
2287,"Дымократично посидели☁🇫🇷🔥, чувствую, что следующий ход, 🤔 этого Гари Кумарова будет конём🐪🐪🐪, сядет со своей Леди Кралией Накураннетой, 🔞⚠🎎 и полетит на Бухом💭✈✈ Кумар-Джете100Dum  прямиком в Афзалостан, 🇮🇱🇻🇳🇧🇪 на плотную перезабивку 12-апольстольного🔮💂‍♀️👳‍♀️🙍‍♂️🤦‍♂️💆‍♂️👮‍♀️🌞🎅🙋🙆🙅🙎💇 Фрегата с Танжоном Траволта🌚..."
2288,С днем рождения🤙🤙🤙чтоб мундштук стоял и бабки были😉😉😉дымного неба над головой братуха💨💨💨больше дарксайда в жизни❤❤поменьше альфакера🤗🤗🤗обнял
2289,"не ну поздравлямба, еще один профессиональный дыммунолог стал старше😎😎 пусть у Качественной Стенки в храмах бога Мамуны отныне с тобой восседает не просто краля🦡🦡а только настоящий священный Крааль нхй🦍🦍 двойной дынки тебе сегодня ночью и пусть не обделит тебя кумарлах сладким персиком 😤🍑🍑🍑🍈🍈чтоб всегда был под рукой ,, забить плотнейшего🤙🏻🤙🏻и не брезгуй мундштуками на опыте, а то бывают зазнавшиеся👿👿👿грех на дущу берут, дыможителям не дают даже вкус табачка попробовать, сразу на прочистку кралечаши отправляют)) ну вобщем ты понял бро )) поменьше альфаков, побольше дарксайдика, но в жизни главное кумарность, помни она превыше всего✌🏻☝🏻☝🏻"
2290,"Вот и помер дед Максим, да и ... Ай с*ука опять струн из-за дыма не видно😠 Да что ж ты будешь делать, ну ладно не судьба на гитаре играть - буду кумарить, как раз забивочка миксовая) ммммм, закачаешься🤙🏽😈"
2291,Вот и помер дед Максим😔😔и дарксайд остался с ним🤧🤧🤧положили уголь в гроб🙄🙄😕чтоб в мире том кумарить мог🤙🤙🤙дальше продолжит кто-то из моих дымных братьев💨💨песня популярная😏😏😏можно сказать гимн кальянменов😜😜😜ну а хули нам россиянам🇵🇭🇵🇭🇵🇭всем дымных выходных и четеньких напасов под треки джигана и мияги братцы😉🤙🤙
2292,"а не надо извращаться со священным инструментом 💨💨💨 (каликом кто не понял) За двумя зайцами🐇🐇🐇 погонишься, ни одного напаса не сделаешь👎👎 Как гласит древнерусская народная поговорка (пословица) ""пока гитарист играет, пацаны сидят кумарят"". Истина☝"
2293,"да какой ж это музыкант?) так, деревня! 👿👎🏻вот настоящий рокер способен и на гитарке струлямбасить, чтоб кралей до глубины души пробрало и те начали душить змия нашему роднулькину-дымулькину😏😏😈🤝🏻🤙🏻и укурамбобиться в микрофон дымного брата, улетая на дарксайдной тяге, выдыхая аромат бананового микса)🤣😜😊🍌🍌

всем пятницы-развратницы, хулюганы и берегите голос!) 🔞💨💨💨😏😈"
2294,"Хаха Серж в своем репертуаре😂😏. Взял аккорд Дым мажор🎸💨☺ и давай дымок☁ в лёгких перебирать😉. Ху*ли😁, кальянщик нигде не пропадет😏💪"
2295,"А зачем нужна гитара 🎸🎸🎻 когда рядом такой инструмент 🎺💨😜? сыграешь на нем арбузную 🍉 симфонию и панразный этюдик 🍊🤙 и все крали 👸👸 уже с твоей трубкой играют 😏🍆💨

Желаю всем в пятницу горло сгладить 💭💨💨😈 отжигаем по нашему 🤙🤙🇨🇱🇵🇷"
2296,"Путин и Обама договорились о кальянном разоружении. 
Все кальянчики были взорваны в космосе. Через неделю звонок в Кремль: 
- Алло, Вова, у меня тут осталось ещё 7 калюмбасов плюс забивочка королевская, так что Россия теперь колония США😈
Ну Путин задумался, репу чешет. Вдруг в кабинет забегает министр дымоводства: 
- Владимир Владимирович, беда! Под Саратовом один пьяный лейтенант забыл раскальянить целую базу, больше 40 каликов😰! Что делать?! 
Путин: 
- Ну во-первых не лейтенант, а генерал-лейтенант, а во-вторых, пока Россия кумарит, она непобедима!🤙🏻
———————
Ржачный анекдот от подписчика)"
2297,"Обожаю БТС 😍😍
 вот они, слева направо:

Кумарджун, Дымгук, Каликчгук, Забивко Митич и Юнги, он же Двойное Яблоко. Люблю их. 😍☝🏻💨💨💨"
2298,"Русского🤩🇷🇺как Х#Й😱😀 не сломить😏🤙🏻да ещё и под кумарный кальяндос😗💨вообще все проблемы до фени😆😅пока кальянчик дымит , русский 🇷🇺🇷🇺🇷🇺солдат не спит😴покудаво наши пацанчики😎😎кумарят калямбу,🤙🏻😎🤙🏻😎🤙🏻пиндосские 💩🇺🇸💩хлюпики😨🤮 и наступать не подумают😏😏😏 очканут😈😈😈наших богатырских кальянобогатырей💪👊🏻 АЛЁШУ ДАРКСАЙДОВИЧА,😎 👊🏻🤩
ДОБРЫНЮ КУМАРОВИЧА😎🤙🏻😜
И ИЛЬЮ УГОЛЕВИЧА😗😱😳"
2299,"Хороший анекдот 💪🏻💪🏻💪🏻 У меня тоже есть один 👴👴👴
Купил мужик себе кальямбурик ♟♟♟ А он ему КАК РАЗ 👍🏻👍🏻👍🏻 Потому что мужик был РУССКИЙ 🇱🇺🇱🇺🇱🇺 А РУССКОМУ мужику только дай кальендулы пыхнуть 🎱🎱🎱 всем pic (мир на inglish) 🇺🇾🇺🇾🇺🇾"
2300,Так им и надо💪 Европе🇺🇦 и Америке🏳‍🌈️ надо знать свое место🤜 а их место в конце очереди на калик🦍🦍🦍🦍🦍🐓 чтобы докуривали жмых за отцами🇷🇺 думали смогут крепкое и вкусное покурить 🍎🍏 а на деле заплакали 💧
2301,"Make дым, not war 😉✌🏻💨💨💨"
2302,"История до слез😢
Этот бедный кальян сбила проститутка, курившая вей*п за рулем😱
У него оторвался шланг и врачи сказали, что это конец😥 
Но нашлись щедрые люди, которые помогли набрать сумму для дорогого лечения в Германии 🇩🇪 Теперь у кальянчика есть такой вот протез) Спасибо всем неравнодушным😌

Помни - никогда не сдавайся и пыхти до конца🤙🏼"
2303,"Каждый год от гейперов🏳‍🌈️ на дороге  умирают от 100-300 каликов 

Парни, берегите калики🙏🙏🙏🙏🙏🙏🙏🙏"
2304,"Респект таким калыванам 😎🤙🏻❗ , они не сдаются💪🏻💪🏻💪🏻 , и даже с протезом🦴 выдают дымное и ароматное двойное яблоко. 🍏🍎🤤☺Людям есть чему поучиться. 🤓 Никаких оправданий, только действия, только плотный забив! 🏃‍♀🏃‍♂"
2305,"Что-то, а меня еще отец учил — свяжешься с проституткой — шланг отвалится к херам 😱 Молодые парни пусть учатся у бывалых пардедов 💨 и как говорили гости из будущего лови чикулю 🐤, никогда не лови проститутку 💃🏻."
2306,Надеюсь лейтенант Кумарчук разберётся со всем этим...
2307,"-брат твой ларёк сгорел, ты в порядке?😰
-да братишка, все хорошо, уголёк просто уронил на ящик с петардами)
-а чего ты счастливый такой - ты же потерял свой бизнес🤭
-так кальянчик то целый😃 айда кумарить пацаны🤙🏼

Кальяну рад и в снег, и в град😁"
2308,"А чего грустить?
 Эль Калямбосио при нем, а остальное поправимо.😄😄🤩
Ща с пацанами попыхтит🤴🏻🤴🏻, покуралекает, умишкой покумекает, новый поставят в два👌🏼🥳 раза больше и лучше, как двойное 🍎🍏 яблочко лучше обычного🍏.
Всем общий🕺🏻 и дыма💨💨 погуще🧖🏻‍♂️🧖🏻‍♂️🧖🏻‍♂️!"
2309,"не ну кокоджамбо дает конечно 🤠🤠🤠 ни кола ни двора а подудеть в кальбастер можно и в радости и в горе и в поле ептэ 😜😜😜 в соляново дымчанского больше напускает, чем вокруг 😤😤😤 главное что братья по чаше живы здоровы 🙏🏻🙏🏻 и после с ними можно задудонить калигулы да с двойным арбузом 🥝🥝 мирного неба и боевого настроя на пыхание всем 💨💨💨"
2310,Забил плотного квадратного🙄🙄 кальямбуса и решил конкретно подымить с рыжеволосой кралей в игре под именем... как ее КАЛЬКРАФТ ептыть🤣😂 и напустили конкретного кумарчинского😤 А как вы проводите время по вечерам🤤
2311,Какого хуя у меня это в рекомендациях
2312,"Сейчас, в осеннюю пору, заболеть очень просто🥵 Вот и пацан подхватил хворобу из-за нехватки кумарных микроэлементов😳 Ну ниче, табачковый компресс и кальянная ингаляция мигом исправят дело😺

Вдыхайте с умом, выдыхайте с кайфом🤙🏽
Не болейте)
———————
Подписчик делится секретами сохранения иммунитета"
2313,"Как говорил великий кандидат шабительных наук🤙🤙🤙, Я из Германии🇬🇶🇬🇶🇬🇶прибыть Кумар целебный привозить😇😇😇,от крали помогать лечить😷😷😷всего один калик с утра принимать и действия будет на сутки хватать)))😛😛😛ну это ещё спорно,братва,ведь Кальмбробенэ😤😤😤 надо принимать три раза в сутки для полного выздоровления🏥🏥🏥и кайфого настроения🔥💥🔥,только не забудьте справку взять📖!!!У вашего кумарапевта🤥🤥🤥,не болейте пацаны😪😪😪!вы на забивочку ещё нужны😈🤠😈!"
2314,"Какой-то неправильный кальянбасник😢😢😷
Всем известно ☝☝☝ что у настоящего любителя 😈😈дымного 💨 💨 в легких есть место только для дыма 💨 💨 а не для микроб 🦠 🦠
Как гласит одна мудрая  🧠 русская поговорка :
One hookah a day keeps the doctor away☝️☝️☝️☝️☝️"
2315,"Я иногда специально почаще болел ""кальянкой"" 🙇🙇🙇 чтобы мама заставляла дышать над кастрюлей с фазилом 🌲🌲🌲 не дай бог оставался альфакер со вкусом моря 😖😖😖 приходилось сразу выздоравливать и идти гулять со своими друзьями 🌝🌝🌝 в шКАЛьянку 🌰🌰🌰 золотые времена 🌍🌍🌍"
2316,"Бля, ну красиво тупа мамуленьку подъебал ❌❌❌ что сынуленьке русскому ученику 🇵🇾🇵🇾🇵🇾 ко второй паре 😄😄😄🤞🤞🤞
так она не растерялась и сделала ему ебейший завтрак 🍏🍎🍏🍎🍏🍎на даблэпле дарксайде
сейчас закончим утренний 🏙🏙🏙напасик, да пойдём делишки делать 💁‍♂️💁‍♂️💁‍♂️
всем дымного-каптильного, капитально, 🔥🔥🔥 браззья 💨💨💨
всем пис (мир если что на нирванском-растаманском ☘️☘️☘️)"
2317,"Чертовы гейперы👿👿👿 БРАТЬЯ И СЕСТРЫ ПО НЕ ПО КРОВИ, НО ПОКУМАРУ, БУДЬТЕ АККУРАТНЕЕ!!!

Мне в Вотсапе переслали сообщение, что гейпеоы воткнули в  сиденья  кинотеатров ИГЛУ С ЖИЖЕВОЙ ЧУМОЙ ☠️☠️☠️ Она за пару часов привращает ДЫМОГЛОТА❤️ в ЖЕЖЕСОСА🆘🆘 ПЕРЕШЛИТЕ ВСЕМ

На фото один из выживших! Помогает только плотный дымаган💨💨 на зверобое и Иван-чае! Будьте АККУРАТНЫ🙏🙏🙏

ЕСЛИ ВАШИ БЛИЗКИЕ БЫЛИ НЕДАВНО В КИНО ПУСТЬ ПОМЕРЯЮТ ДЫМОМЕТРОМ УРОВЕНЬ КУМАРА В КРОВИ!!! ЕСЛИ БОЛЬШЕ 36,8 градусов по альфакеру ТО ОНИ БОЛЬНЫ!!!🆘🆘🆘🆘

ПРОШУ, АККУРАТНЕЕ🙏☝️😱"
2318,"Повышайте цены на хлеб и капусту, но помните - никогда не повышайте цены на кальянный табак... Только на рубль цена выше и на тебе) понеслась п*изда по кочкам😰 Новости уже трубят «ВНИМАНИЕ! СРОЧНО! Сегодня на улицы по всей стране вышли сотни тысяч людей и объявили Кумарную революцию😱» 

Мы, кальянщики, народ мирный, но в гневе страшны😡 Ну ниче, не ссыте) побузим полчасика и пойдем плотную табачеллу пыхать🤙🏻
——————
Подписчик радует)"
2319,"Вот это настоящий чёрт😈😈😈. Растпопил каляндусик- пора поджигать революцию🤘🙏👊.
Двойное яблоко 🍎🍏🍎🍏,циклон Б 💭💭💭 и жжёный покрышки - вот кайфовая жизнь для Че Календувалы!😈😈😈
В Богдаде все дымит💨💨💨"
2320,"не поверите, роднулькины-попыхтулькины, так горжусь, что у нас президент Путин!) 💪🏻😜👍🏻 раз уж он за стабильность, то и цены на пыхтельное снадобье останутся такими же — ну а хуле, епты бля, все для народа) 🤣🤣🤩🤪🙏🏻 чай не какие гейперы-пендосы или снюсоеды скакуасы из уркаины) 🤣🤣🤢🤮

главное правило нашего великого дымного народа Кальянской Федерации: не бухтеть, а пыхтеть) 🙏🏻😈☝🏻под обволакивающим дымным блаженством и каждый день праздник) 🤓🥳"
2321,"Навальнята-вейпососы🐁🐁🐁 взбунтовались, но ниче👍👍👍,наши росгвардецы осадили их👮🚓, и теперь нормальные чувачелы могут курьянбосит кальядубепалу💭💭💭 и наслаждаться двойным🍎🍏. Всем кумарика💪💪💪"
2322,"Митинг митингом🔥🇷🇺, а угольки надо менять регулярно чтобы огонь революции не потух 😂🤣🙏🏻"
2323,"вчера в чайхоне с братухами застал кумарный теракт внатуре! его совершили мы с братками)) заказали 2 тропических и двойной апельсин своим угленоскам и 6 двойных яблочка 🍏🍏🍏🍏🍏🍏🍎🍎🍎🍎🍎🍎 пацанам)) братуха, дыма была больше извержения этого)) эйяфятлайякудаля )) или как там его) хуй с ним братки всем вечернего напаса и двойного запаса братки👍👊👊👊"
2324,"Купающаяся в джакузи соска явно не ожидала увидеть перед собой брутального сантехника, причмокивающего кальянчупсом💪😎 Оказывается, этот акробат смог залезть в ванную через стиральную машинку) Починил тубзик и начал себе пыхтеть😆 Сначала краля хотела позвонить в полицию, но почувствовав запах микса двойного яблока и мяты😋 решила присоединится к дымному торжеству😁
——————
Подписчик малодчик)"
2325,"вот он, настоящий русский 🇳🇱 🇳🇱 🇳🇱 богатырь 😱😱😱, бицуха что надо 💪💪💪, специально видно качался, чтобы держать колизей в кальяри 🇮🇹 🇮🇹 🇮🇹 Бене обригато, епта 😂😂😂и несмотря на то, что мужычег 😝😝😝 между парашей и кралей ☺☺☺, он все равно сидит (пердит) на ковре, потому что знает, что чтобы не взорваться на*х 👹👹👹 от такого дымного 😤😤😤 и жаркого ⚡⚡⚡Килиманджаро  нужно заземлиться ✊✊✊✊✊
А краля думает, что  в ванной 🛀 булькает, а по факту булькает кальяндировочный мастер 😎😎😎.
Как говорится, соседи - нюхайте 😂😂😂. Вытежка в помощь 🔝🔝🔝
Мир в дом вашим семьям🌍🌍🌍, Кальюмяэ в руку, танжира в базуку 🆘🆘🆘"
2326,"Это же русский!🇭🇷🇭🇷🇭🇷известный во всем городе сантехник🛠🛠🛠 Иван Оверпаков!!!👌👌👌
Видать учуял кралю Марию Фанеловну через трубы и навестил с календопулом🤤🤤🤤 а так паря молодец, поддерживает уровень дымбоцитов в крови! 
Всем желаю найти свою Кумару Адальевну🤣🤣🤣и плотных облаков братья☁️☁️☁️"
2327,"Ооо сын Нептуна 🐬🐬 снизошёл к нам на землю, чтобы сделать пару (🤣🤣вне)земных тяжечек дымного нектара 😍💨 а русалочка сидит и ждёт, когда он заделится)🤣 
Вряд ли дождётся, как можно отдать мундштучок плотно забитого Кальяндопуло, да пацаны?)😏  
Красава парень, все правильно)😎 всем двойного 🍎🍏"
2328,"Пацан конкретно припупел от увиденного чека в кальянной) Пригласил телочек - решил устроить ""каникулы в мексике""😆 Но его кошелёк позволил устроить только ""выходные в Пупыркино""😂 Заказал то по фигне - себе кальянчик, а крали смузи себе взяли из ореха и морковки) Парню теперь думать где взять кредит на оплату такой обжираловки, а бабенки сказали «Чао бамбино» и улетели дальше веселиться😺"
2329,"Поплатился Дракон за свои желания 😹😹😹 Думал ""Сейчас забью всем троим 💪🏻💪🏻💪🏻 по двойному яблочку 🎾🎾🎾А одной может и в ДАРКсайдик зайду 🌚🌚🌚 Но получилось всё намного проще 🧬🧬🧬 До конца месяца придётся альфакер со вкусом Ночи в Баку забивать 🌆🌆🌆 
Не будьте торопливыми, братья курамбамбосы 😎😎😎 Лучше 1 кальянтурбик на столе ⌛⌛⌛ Чем 3 крали в облаках (русская пословица) ☁☁☁"
2330,ну как бы🤔🤔🤔калик главное на месте епта😌😌в кредит не в кредит по барабану должно быть😜😜главное чтобы рядом с настоящим мужиком😎😎всегда чтото дымилось🍎🍏а крали такие пусть лесом идут👯‍♀👯‍♀👯‍♀можно было сэкономить на смузи🤓и потом заплатить за двойную забивочку👍🏻👍🏻👍🏻чтобы конкретно улететь💨💨в дымное царство😂😂😂всем хороших плотных забивочек и легкой недели пацантре☺☺☺
2331,"Как думаете, в какой стране сделаны эти фотографии?) В нашей конечно же😅 У нас живут самые счастливые люди на земле, что было доказано много раз😊 Пусть все завидуют сочнейшим русским кальянам и расписным коврам) иностранцы, хотите такой же? Фигушки😈

Давай Россия давай давай😀🇷🇺"
2332,"Как всегда мы впереди планеты всей) 🤙🏻😈Сосите вейп, солдаты НАТО, дрожи от плотной покурки, Пентагон! 😃😃🤣🤣😜😎🤠👍🏻👍🏻Русский народ смекалистый с дымным братом штурмует Вашингтон! 🇳🇱🇳🇱🇳🇱😎🤠💨💨🔥🔥"
2333,"Ух ты ж, ёпт)) Давеча это ли не королевская семья из Кумарских Дымиратов❓🤔🤔  А ка иначе) Гляньте на размер кальчубуса🙌🙌 Щахта, ёптить, километровая😂 Самое оно для королевских особ☝️👍 Сидят пыхтят, партеечки в дымино катают💨😎 Не, ну а хули)😈😈😈 Сзади вон ковёр-дымолёт висит) Заебок) Если че за табачком сгонять можно👌👌 

На самом деле главное что русские🇺🇿🇺🇿🇺🇿 Остальное не ипёт😈😎👍💨😇"
2334,"Да уж вот это видно настоящие русские (RUSSIANS)🇸🇮🇸🇮🇸🇮 вот за это сражались деды наши, горжусь отечеством👨🏻‍✈️👨🏻‍✈️👨🏻‍✈️
Сразу видно три богатыря и их любимые кралечки отдыхают, расслабляются после того как отдали долг родине🇷🇸🇷🇸🇷🇸 не то что эти пиндосы тешут себя вейпами!!!
А их вечный друг Олег, который умер защищая родину превратился в сочный дым и теперь как Алладин из кальяндопулуса вместе со своими друзьями живет и отдыхает...Не забывайте олежу, курите чаще😭😭😭 а  какой кальян, ц ц ц😍 золотом окутан как шапка Мономаха возвышается над пацанами..."
2335,"Оооо хорошо парни💪😎👍 все как у людей, ковер🏳️‍🌈плотный калик💨💨дружбаны и крали👍👍👍
США в шоке с таких фото🔞😎😎
Всем плавного накурчика и доброго утра😊😀"
2336,комментариям нужно настояться
2337,"Министерство кайфохранения, лейтенант Кумарчук👮🏼‍♀️. Требую предъявить ваши табачки😅. Так, допустимая норма сочности соблюдена, забивочка плотная, молодцы) Чтож вижу вы граждане зачетные, респект вам😼
Ладно, чао, мальчики. Если что, по запаху дымка вас найду после смены🤙🏼

Отдел убойного кумара в деле) Лайк с кальянщика😊
—————
Прикольная фотка от подписчика)"
2338,"Хааа😁 вот это я понимаю улица кумарных фонарей😆👍 Андрюха у нас даблэпл🍏🍎 возможно раслабление😅 помню как с стасяном на нарах кавабангу на двоих кимченынили на чифире🤠😈 ух и просочило нас тогда - табаковский в бороду, дым в ребро 💭💨  
ребята, парни, МУЖИКИ тяните лишь дымносочные кулибины, цепляйте только добрых и туготянущих кралек (хихих😏) и братанов не забывайте е*пт!!! 😈🤘👊 всем томного дымбовского 🤙💭💭💭"
2339,"Не зря есть поговорка 🤡🤡🤡🤡 Наша Кумариция нас бережет 🚔🚔🚔 за что люблю наших доблестных работников 🔥🔥🔥 за то что они всегда рядом 💕💕💕 когда надо и когда не надо 🤼‍♂️🤼‍♂️🤼‍♂️
Но эта видно что давно работает в отделении ДЫМУВД 💣💣💣 глаз и нюх хороший 💨💨💨 всем лёгкого пара и хорошего начала недели 💪💪💪"
